#{W0 -> 1, a0 -> 0.01, zb -> 10, r -> 0.5, l -> 0.05, b -> 1, q0 -> 0.05, p -> 0, h -> 0.1}
#{z1 -> 4.0013854, z2 -> 6.429247, z3 -> 7.086968, u -> 4.8, w -> 0.1}
Nu0, M1, M2, M3, stable 

0.,0.,0.,0.,True

0.,0.,0.,0.,True

0.,0.,0.,0.,True

0.,0.,0.,0.,True

0.,0.,0.,0.,True

0.,0.,0.,0.,True

0.,0.,0.,0.,True

0.,0.,0.,0.,True

0.1,0,0,0,True

0.2,0,0,0,True

0.3,0,0,0,True

0.4,0,0,0,False

0.4,0,0,0.646677,True

0.4,0,0.557693,0,False

0.5,0,0,0,False

0.5,0,0,2.68209,True

0.5,0,2.56729,0,False

0.5,1.91091,0,0,False

0.6,0,0,0,False

0.6,0,0,4.6704,True

0.6,0,4.52882,0,False

0.6,6.47667,0,0,False

0.7,0,0,0,False

0.7,0,0,6.61441,False

0.7,0,4.313,2.19083,True

0.7,0,6.44526,0,False

0.7,10.7937,0,0,False

0.8,0,0,0,False

0.8,0,0,8.51665,False

0.8,0,8.31929,0,True

0.8,14.8956,0,0,False

0.9,0,0,0,False

0.9,0,0,10.3794,False

0.9,0,10.1533,0,True

0.9,18.8091,0,0,False

1.,0,0,0,False

1.,0,0,12.2049,False

1.,0,11.9496,0,True

1.,22.5558,0,0,False

1.1,0,0,0,False

1.1,0,0,13.9949,False

1.1,0,13.7101,0,True

1.1,26.1535,0,0,False

1.2,0,0,0,False

1.2,0,0,15.7512,False

1.2,0,15.4367,0,True

1.2,29.617,0,0,False

1.3,0,0,0,False

1.3,0,0,17.4755,False

1.3,0,17.131,0,True

1.3,32.9588,0,0,False

1.4,0,0,0,False

1.4,0,0,19.1692,False

1.4,0,18.7946,0,True

1.4,36.1897,0,0,False

1.5,0,0,0,False

1.5,0,0,20.8337,False

1.5,0,20.429,0,True

1.5,39.3188,0,0,False

1.6,0,0,0,False

1.6,0,0,22.4704,False

1.6,0,22.0354,0,True

1.6,42.3543,0,0,False

1.7,0,0,0,False

1.7,0,0,24.0804,False

1.7,0,23.6151,0,True

1.7,45.303,0,0,False

1.8,0,0,0,False

1.8,0,0,25.6648,False

1.8,0,25.1693,0,True

1.8,48.1712,0,0,False

1.9,0,0,0,False

