#{W0 -> 1, a0 -> 0.01, zb -> 10, r -> 0.5, l -> 0.05, b -> 1, q0 -> 0.05, p -> 0, h -> 0.1}
#{z1 -> 3.540760, z2 -> 6.412004, z3 -> 6.122998, u -> 4.8, w -> 0.05}
Nu0, M1, M2, M3, stable 
0.,0.,0.,0.,True

0.,0.,0.,0.,True

0.,0.,0.,0.,True

0.,0.,0.,0.,True

0.,0.,0.,0.,True

0.,0.,0.,0.,True

0.,0.,0.,0.,True

0.,0.,0.,0.,True

0.1,0,0,0,True

0.2,0,0,0,True

0.3,0,0,0,False

0.3,0,0,1.08889,False

0.3,0,1.35,0,True

0.4,0,0,0,False

0.4,0,0,3.87031,False

0.4,0,4.20666,0,True

0.5,0,0,0,False

0.5,0,0,6.5378,False

0.5,0,6.94494,0,True

0.5,5.90426,0,0,False

0.6,0,0,0,False

0.6,0,0,9.10342,False

0.6,0,9.57749,0,True

0.6,11.5371,0,0,False

0.7,0,0,0,False

0.7,0,0,11.5772,False

0.7,0,12.1148,0,True

0.7,16.7791,0,0,False

0.8,0,0,0,False

0.8,0,0,13.9678,False

0.8,0,14.5659,0,True

0.8,21.6966,0,0,False

0.9,0,0,0,False

0.9,0,0,16.2823,False

0.9,0,16.9383,0,True

0.9,26.3389,0,0,False

1.,0,0,0,False

1.,0,0,18.5271,False

1.,0,19.2386,0,True

1.,30.7442,0,0,False

1.1,0,0,0,False

1.1,0,0,20.7076,False

1.1,0,21.4724,0,True

1.1,34.9423,0,0,False

1.2,0,0,0,False

1.2,0,0,22.8286,False

1.2,0,23.6447,0,True

1.2,38.9575,0,0,False

1.3,0,0,0,False

1.3,0,0,24.8943,False

1.3,0,25.76,0,True

1.3,42.8096,0,0,False

1.4,0,0,0,False

1.4,0,0,26.9085,False

1.4,0,27.822,0,True

1.4,46.5152,0,0,False

1.5,0,0,0,False

1.5,0,0,28.8746,False

1.5,0,29.8343,0,True

1.5,50.088,0,0,False

1.6,0,0,0,False

1.6,0,0,30.7954,False

1.6,0,25.5526,6.05611,True

1.6,0,31.8,0,False

1.6,53.5401,0,0,False

1.7,0,0,0,False

1.7,0,0,32.6737,True

1.7,0,33.7219,0,False

1.7,56.8814,0,0,False

1.8,0,0,0,False

1.8,0,0,34.512,True

1.8,0,35.6025,0,False

