#{W0 -> 1, a0 -> 0.01, zb -> 10, r -> 0.5, l -> 0.05, b -> 1,  q0 -> 0.005, p -> 0.5, h -> 0.1 }
# {z1 -> 2.691469, z2 -> 4.915440, u -> 4.5, w -> 0.15}
Nu0,M1,M2,stable

3.,0,0,False

3.,0,51.2461,True

3.,75.3981,0,False

3.01,0,0,False

3.01,0,51.4141,True

3.01,75.6434,0,False

3.02,0,0,False

3.02,0,51.582,True

3.02,75.8882,0,False

3.03,0,0,False

3.03,0,51.7496,True

3.03,76.1326,0,False

3.04,0,0,False

3.04,0,51.9169,True

3.04,76.3765,0,False

3.05,0,0,False

3.05,0,52.084,True

3.05,76.6199,0,False

3.06,0,0,False

3.06,0,52.2509,True

3.06,76.8629,0,False

3.07,0,0,False

3.07,0,52.4176,True

3.07,77.1054,0,False

3.08,0,0,False

3.08,0,52.584,True

3.08,77.3475,0,False

3.09,0,0,False

3.09,0,52.7502,True

3.09,77.5891,0,False

3.1,0,0,False

3.1,0,52.9162,True

3.1,77.8303,0,False

3.11,0,0,False

3.11,0,53.0819,True

3.11,78.071,0,False

3.12,0,0,False

3.12,0,53.2474,True

3.12,78.3113,0,False

3.13,0,0,False

3.13,0,53.4127,True

3.13,78.5512,0,False

3.14,0,0,False

3.14,0,53.5778,True

3.14,78.7906,0,False

3.15,0,0,False

3.15,0,53.7426,True

3.15,79.0296,0,False

3.16,0,0,False

3.16,0,53.9072,True

3.16,79.2682,0,False

3.17,0,0,False

3.17,0,54.0716,True

3.17,79.5063,0,False

3.18,0,0,False

3.18,0,54.2358,True

3.18,79.744,0,False

3.19,0,0,False

3.19,0,54.3997,True

3.19,79.9812,0,False

3.2,0,0,False

3.2,0,54.5634,True

3.2,80.2181,0,False

3.21,0,0,False

3.21,0,54.7269,True

3.21,80.4545,0,False

3.22,0,0,False

3.22,0,54.8902,True

3.22,80.6905,0,False

3.23,0,0,False

3.23,0,55.0533,True

3.23,80.9261,0,False

3.24,0,0,False

3.24,0,55.2161,True

3.24,81.1612,0,False

3.25,0,0,False

3.25,0,55.3787,True

3.25,81.3959,0,False

3.26,0,0,False

3.26,0,55.5411,True

3.26,81.6303,0,False

3.27,0,0,False

3.27,0,55.7033,True

3.27,81.8642,0,False

3.28,0,0,False

3.28,0,55.8653,True

3.28,82.0977,0,False

3.29,0,0,False

3.29,0,56.027,True

3.29,82.3307,0,False

3.3,0,0,False

3.3,0,56.1886,True

3.3,82.5634,0,False

3.31,0,0,False

3.31,0,56.3499,True

3.31,82.7957,0,False

3.32,0,0,False

3.32,0,56.511,True

3.32,83.0276,0,False

3.33,0,0,False

3.33,0,56.6719,True

3.33,83.259,0,False

3.34,0,0,False

3.34,0,56.8326,True

3.34,83.4901,0,False

3.35,0,0,False

3.35,0,56.9931,True

3.35,83.7208,0,False

3.36,0,0,False

3.36,0,57.1533,True

3.36,83.951,0,False

3.37,0,0,False

3.37,0,57.3134,True

3.37,84.1809,0,False

3.38,0,0,False

3.38,0,57.4733,True

3.38,84.4104,0,False

3.39,0,0,False

3.39,0,57.6329,True

3.39,84.6395,0,False

3.4,0,0,False

3.4,0,57.7923,True

3.4,84.8682,0,False

3.41,0,0,False

3.41,0,57.9516,True

3.41,85.0965,0,False

3.42,0,0,False

3.42,0,58.1106,True

3.42,85.3244,0,False

3.43,0,0,False

3.43,0,58.2694,True

3.43,85.5519,0,False

3.44,0,0,False

3.44,0,58.428,True

3.44,85.7791,0,False

3.45,0,0,False

3.45,0,58.5864,True

3.45,86.0059,0,False

3.46,0,0,False

3.46,0,58.7446,True

3.46,86.2322,0,False

3.47,0,0,False

3.47,0,58.9026,True

3.47,86.4583,0,False

3.48,0,0,False

3.48,0,59.0604,True

3.48,86.6839,0,False

3.49,0,0,False

3.49,0,59.218,True

3.49,86.9091,0,False

3.5,0,0,False

3.5,0,59.3754,True

3.5,87.134,0,False

3.51,0,0,False

3.51,0,59.5326,True

3.51,87.3585,0,False

3.52,0,0,False

3.52,0,59.6896,True

3.52,87.5827,0,False

3.53,0,0,False

3.53,0,59.8464,True

3.53,87.8064,0,False

3.54,0,0,False

3.54,0,60.003,True

3.54,88.0298,0,False

3.55,0,0,False

3.55,0,60.1594,True

3.55,88.2528,0,False

3.56,0,0,False

