# {W0 -> 1, a0 -> 0.01, zb -> 10, r -> 0.5, l -> 0.05, b -> 1,  q0 -> 0.005, p -> 0.5, h -> 0.1 }
#{z1 -> 3.537603, z2 -> 5.762877, u -> 4.5, w -> 0.1}
Nu0,M1,M2,stable


3.,0,0,False

3.,0,52.6517,True

3.,79.3741,0,False

3.01,0,0,False

3.01,0,52.8081,True

3.01,79.6021,0,False

3.02,0,0,False

3.02,0,52.9643,True

3.02,79.8297,0,False

3.03,0,0,False

3.03,0,53.1203,True

3.03,80.0569,0,False

3.04,0,0,False

3.04,0,53.2761,True

3.04,80.2837,0,False

3.05,0,0,False

3.05,0,53.4316,True

3.05,80.5101,0,False

3.06,0,0,False

3.06,0,53.587,True

3.06,80.736,0,False

3.07,0,0,False

3.07,0,53.7421,True

3.07,80.9616,0,False

3.08,0,0,False

3.08,0,53.897,True

3.08,81.1867,0,False

3.09,0,0,False

3.09,0,54.0517,True

3.09,81.4115,0,False

3.1,0,0,False

3.1,0,54.2062,True

3.1,81.6358,0,False

3.11,0,0,False

3.11,0,54.3604,True

3.11,81.8598,0,False

3.12,0,0,False

3.12,0,54.5145,True

3.12,82.0833,0,False

3.13,0,0,False

3.13,0,54.6683,True

3.13,82.3065,0,False

3.14,0,0,False

3.14,0,54.822,True

3.14,82.5293,0,False

3.15,0,0,False

3.15,0,54.9754,True

3.15,82.7516,0,False

3.16,0,0,False

3.16,0,55.1286,True

3.16,82.9736,0,False

3.17,0,0,False

3.17,0,55.2816,True

3.17,83.1952,0,False

3.18,0,0,False

3.18,0,55.4344,True

3.18,83.4164,0,False

3.19,0,0,False

3.19,0,55.587,True

3.19,83.6372,0,False

3.2,0,0,False

3.2,0,55.7394,True

3.2,83.8577,0,False

3.21,0,0,False

3.21,0,55.8916,True

3.21,84.0777,0,False

3.22,0,0,False

3.22,0,56.0435,True

3.22,84.2974,0,False

3.23,0,0,False

3.23,0,56.1953,True

3.23,84.5167,0,False

3.24,0,0,False

3.24,0,56.3469,True

3.24,84.7356,0,False

3.25,0,0,False

3.25,0,56.4983,True

3.25,84.9542,0,False

3.26,0,0,False

3.26,0,56.6494,True

3.26,85.1724,0,False

3.27,0,0,False

3.27,0,56.8004,True

3.27,85.3902,0,False

3.28,0,0,False

3.28,0,56.9512,True

3.28,85.6076,0,False

3.29,0,0,False

3.29,0,57.1017,True

3.29,85.8247,0,False

3.3,0,0,False

3.3,0,57.2521,True

3.3,86.0414,0,False

3.31,0,0,False

3.31,0,57.4023,True

3.31,86.2577,0,False

3.32,0,0,False

3.32,0,57.5522,True

3.32,86.4737,0,False

3.33,0,0,False

3.33,0,57.702,True

3.33,86.6893,0,False

3.34,0,0,False

3.34,0,57.8516,True

3.34,86.9045,0,False

3.35,0,0,False

3.35,0,58.001,True

3.35,87.1194,0,False

3.36,0,0,False

3.36,0,58.1502,True

3.36,87.3339,0,False

3.37,0,0,False

3.37,0,58.2992,True

3.37,87.5481,0,False

