#{W0 -> 1, a0 -> 0.01, zb -> 10, r -> 0.5, l -> 0.05, b -> 1,  q0 -> 0.005, p -> 0.5, h -> 0.1 }
#{z1 -> 1.629453, z2 -> 3.624089, u -> 4.5, w -> 0.2}
Nu0,M1,M2,stable


0.,0.,0.,True

0.,0.,0.,True

0.,0.,0.,True

0.,0.,0.,True

0.2,0,0,True

0.4,0,0,True

0.6,0,0,True

0.8,0,0,True

1.,0,0,False

1.,0,6.5523,True

1.2,0,0,False

1.2,0,12.7143,True

1.2,8.40836,0,False

1.4,0,0,False

1.4,0,18.5258,True

1.4,17.1347,0,False

1.6,0,0,False

1.6,0,24.0344,True

1.6,25.1923,0,False

1.8,0,0,False

1.8,0,29.2779,True

1.8,32.7006,0,False

2.,0,0,False

2.,0,34.2866,True

2.,39.7474,0,False

2.2,0,0,False

2.2,0,39.0857,True

2.2,46.3994,0,False

2.4,0,0,False

2.4,0,43.6962,True

2.4,52.7087,0,False

2.6,0,0,False

2.6,0,48.1357,True

2.6,58.7168,0,False

2.8,0,0,False

2.8,0,52.4194,True

2.8,64.4576,0,False

3.,0,0,False

3.,0,56.5602,True

3.,69.9591,0,False

3.2,0,0,False

3.2,0,60.5694,True

3.2,75.2447,0,False

3.4,0,0,False

3.4,0,64.457,True

3.4,80.3344,0,False

3.6,0,0,False

3.6,0,68.2317,True

3.6,85.2451,0,False

3.8,0,0,False

3.8,0,71.9012,False

3.8,7.88114,65.3029,True

3.8,89.9916,0,False

4.,0,0,False

4.,0,75.4725,False

4.,16.3983,61.747,True

4.,94.5867,0,False

4.2,0,0,False

4.2,0,78.9517,False

4.2,25.3581,57.7452,True

4.2,99.0416,0,False

4.4,0,0,False

4.4,0,82.3444,False

4.4,34.906,53.199,True

4.4,103.366,0,False

4.6,0,0,False

4.6,0,85.6556,False

4.6,45.2663,47.9524,True

4.6,107.569,0,False

4.8,0,0,False

4.8,0,88.8899,False

4.8,56.8253,41.7322,True

4.8,111.659,0,False

5.,0,0,False

5.,0,92.0514,False

5.,70.3714,33.977,True

5.,115.642,0,False

5.2,0,0,False

5.2,0,95.144,False

5.2,88.1843,23.0609,True

5.2,119.526,0,False

5.4,0,0,False

5.4,0,98.1712,False

5.4,123.314,0,True

5.6,0,0,False

5.6,0,101.136,False

5.6,127.014,0,True

5.8,0,0,False

5.8,0,104.042,False

5.8,130.63,0,True

6.,0,0,False

6.,0,106.891,False

6.,134.165,0,True

6.2,0,0,False

6.2,0,109.686,False

6.2,137.625,0,True

6.4,0,0,False

6.4,0,112.429,False

6.4,141.012,0,True

6.6,0,0,False

6.6,0,115.123,False

6.6,144.331,0,True

6.8,0,0,False

6.8,0,117.769,False

6.8,147.584,0,True

7.,0,0,False

7.,0,120.37,False

7.,150.774,0,True

7.2,0,0,False

7.2,0,122.927,False

7.2,153.904,0,True

7.4,0,0,False

7.4,0,125.442,False

7.4,156.977,0,True

7.6,0,0,False

7.6,0,127.917,False

7.6,159.995,0,True

7.8,0,0,False

7.8,0,130.352,False

7.8,162.96,0,True

8.,0,0,False

8.,0,132.75,False

8.,165.873,0,True

8.2,0,0,False

8.2,0,135.111,False

8.2,168.738,0,True

8.4,0,0,False

8.4,0,137.438,False

8.4,171.556,0,True

8.6,0,0,False

8.6,0,139.73,False

8.6,174.329,0,True

8.8,0,0,False

8.8,0,141.99,False

8.8,177.057,0,True

9.,0,0,False

9.,0,144.217,False

9.,179.744,0,True

9.2,0,0,False

9.2,0,146.414,False

9.2,182.39,0,True

9.4,0,0,False

9.4,0,148.581,False

9.4,184.996,0,True

9.6,0,0,False

9.6,0,150.72,False

9.6,187.564,0,True

9.8,0,0,False

9.8,0,152.83,False

9.8,190.095,0,True

10.,0,0,False

10.,0,154.912,False

10.,192.59,0,True
